Dataset,Weights,Image Size,Threshold,FileName,F1_Value,Precision_Value
1,ASL_64_16_nano.pt,64,0.5,exp,0.906253644,0.849282174
,,,,,,
2,ASL_64_16_nano.pt,64,0.5,exp2,0.842176878,0.750378679
,,,,,,
1,ASL_128_16_nano.pt,64,0.5,exp3,0.910725784,0.856716473
,,,,,,
2,ASL_128_16_nano.pt,64,0.5,exp4,0.910970195,0.853957291
,,,,,,
1,ASL_160_16_nano.pt,64,0.5,exp5,0.879146486,0.80487989
,,,,,,
2,ASL_160_16_nano.pt,64,0.5,exp6,0.886659855,0.815454155
,,,,,,
1,ASL_320_16_nano.pt,64,0.5,exp7,0.938577929,0.905815298
,,,,,,
2,ASL_320_16_nano.pt,64,0.5,exp8,0.951435816,0.927531055
,,,,,,
1,ASL_64_16_nano.pt,128,0.5,exp9,0.803105742,0.721781461
,,,,,,
2,ASL_64_16_nano.pt,128,0.5,exp10,0.796034092,0.706290756
,,,,,,
1,ASL_128_16_nano.pt,128,0.5,exp11,0.944724946,0.908499283
,,,,,,
2,ASL_128_16_nano.pt,128,0.5,exp12,0.901244126,0.838789207
,,,,,,
1,ASL_160_16_nano.pt,128,0.5,exp13,0.941532522,0.905902305
,,,,,,
2,ASL_160_16_nano.pt,128,0.5,exp14,0.926289102,0.879717858
,,,,,,
1,ASL_320_16_nano.pt,128,0.5,exp15,0.899877522,0.835244566
,,,,,,
2,ASL_320_16_nano.pt,128,0.5,exp16,0.930256459,0.883250879
,,,,,,
1,ASL_64_16_nano.pt,160,0.5,exp17,0.801958657,0.717673339
,,,,,,
2,ASL_64_16_nano.pt,160,0.5,exp18,0.822561634,0.744722392
,,,,,,
1,ASL_128_16_nano.pt,160,0.5,exp19,0.926279374,0.878254549
,,,,,,
2,ASL_128_16_nano.pt,160,0.5,exp20,0.883381277,0.8151959
,,,,,,
1,ASL_160_16_nano.pt,160,0.5,exp21,0.961629066,0.935015367
,,,,,,
2,ASL_160_16_nano.pt,160,0.5,exp22,0.921347296,0.878155966
,,,,,,
1,ASL_320_16_nano.pt,160,0.5,exp23,0.93203096,0.886297776
,,,,,,
2,ASL_320_16_nano.pt,160,0.5,exp24,0.93967921,0.89884258
,,,,,,
1,ASL_64_16_nano.pt,320,0.5,exp25,0.791337487,0.714502288
,,,,,,
2,ASL_64_16_nano.pt,320,0.5,exp26,0.793094491,0.729039386
,,,,,,
1,ASL_128_16_nano.pt,320,0.5,exp27,0.88560409,0.828566683
,,,,,,
2,ASL_128_16_nano.pt,320,0.5,exp28,0.863200006,0.79083809
,,,,,,
1,ASL_160_16_nano.pt,320,0.5,exp29,0.916012373,0.861621351
,,,,,,
2,ASL_160_16_nano.pt,320,0.5,exp30,0.883570578,0.811204607
,,,,,,
1,ASL_320_16_nano.pt,320,0.5,exp31,0.941966395,0.904615228
,,,,,,
2,ASL_320_16_nano.pt,320,0.5,exp32,0.926708779,0.881872788
,,,,,,
1,ASL_64_16_nano.pt,640,0.5,exp33,0.752108226,0.692130697
,,,,,,
2,ASL_64_16_nano.pt,640,0.5,exp34,0.768943421,0.713140248
,,,,,,
1,ASL_128_16_nano.pt,640,0.5,exp35,0.905141487,0.864589173
,,,,,,
2,ASL_128_16_nano.pt,640,0.5,exp36,0.920200444,0.881750988
,,,,,,
1,ASL_160_16_nano.pt,640,0.5,exp37,0.945185307,0.916133111
,,,,,,
2,ASL_160_16_nano.pt,640,0.5,exp38,0.944688184,0.910560367
,,,,,,
1,ASL_320_16_nano.pt,640,0.5,exp39,0.932637726,0.891370984
,,,,,,
2,ASL_320_16_nano.pt,640,0.5,exp40,0.971074812,0.949727942
,,,,,,
1,ASL_64_16_nano.pt,64,0.55,exp41,0.915107745,0.86422064
,,,,,,
2,ASL_64_16_nano.pt,64,0.55,exp42,0.863013066,0.780712821
,,,,,,
1,ASL_128_16_nano.pt,64,0.55,exp43,0.920251994,0.868924998
,,,,,,
2,ASL_128_16_nano.pt,64,0.55,exp44,0.915726211,0.861655658
,,,,,,
1,ASL_160_16_nano.pt,64,0.55,exp45,0.886264044,0.816523182
,,,,,,
2,ASL_160_16_nano.pt,64,0.55,exp46,0.893759078,0.824943347
,,,,,,
1,ASL_320_16_nano.pt,64,0.55,exp47,0.949856185,0.920924769
,,,,,,
2,ASL_320_16_nano.pt,64,0.55,exp48,0.955807422,0.934460941
,,,,,,
1,ASL_64_16_nano.pt,128,0.55,exp49,0.83491904,0.762510963
,,,,,,
2,ASL_64_16_nano.pt,128,0.55,exp50,0.826390732,0.74529722
,,,,,,
1,ASL_128_16_nano.pt,128,0.55,exp51,0.946977886,0.911213924
,,,,,,
2,ASL_128_16_nano.pt,128,0.55,exp52,0.907017997,0.845929177
,,,,,,
1,ASL_160_16_nano.pt,128,0.55,exp53,0.944389209,0.911187573
,,,,,,
2,ASL_160_16_nano.pt,128,0.55,exp54,0.935046956,0.894451194
,,,,,,
1,ASL_320_16_nano.pt,128,0.55,exp55,0.899877522,0.835244566
,,,,,,
2,ASL_320_16_nano.pt,128,0.55,exp56,0.935915994,0.892072217
,,,,,,
1,ASL_64_16_nano.pt,160,0.55,exp57,0.852185795,0.787366767
,,,,,,
2,ASL_64_16_nano.pt,160,0.55,exp58,0.845585199,0.773791805
,,,,,,
1,ASL_128_16_nano.pt,160,0.55,exp59,0.932997035,0.888927759
,,,,,,
2,ASL_128_16_nano.pt,160,0.55,exp60,0.893461178,0.829858615
,,,,,,
1,ASL_160_16_nano.pt,160,0.55,exp61,0.961629066,0.935015367
,,,,,,
2,ASL_160_16_nano.pt,160,0.55,exp62,0.926786325,0.885410166
,,,,,,
1,ASL_320_16_nano.pt,160,0.55,exp63,0.93203096,0.886297776
,,,,,,
2,ASL_320_16_nano.pt,160,0.55,exp64,0.943930439,0.904951061
,,,,,,
1,ASL_64_16_nano.pt,320,0.55,exp65,0.842531664,0.787693933
,,,,,,
2,ASL_64_16_nano.pt,320,0.55,exp66,0.818144976,0.759912884
,,,,,,
1,ASL_128_16_nano.pt,320,0.55,exp67,0.897651159,0.843116566
,,,,,,
2,ASL_128_16_nano.pt,320,0.55,exp68,0.880732249,0.814933433
,,,,,,
1,ASL_160_16_nano.pt,320,0.55,exp69,0.947470359,0.91071125
,,,,,,
2,ASL_160_16_nano.pt,320,0.55,exp70,0.905712526,0.844192232
,,,,,,
1,ASL_320_16_nano.pt,320,0.55,exp71,0.941966395,0.904615228
,,,,,,
2,ASL_320_16_nano.pt,320,0.55,exp72,0.932929912,0.89189028
,,,,,,
1,ASL_64_16_nano.pt,640,0.55,exp73,0.770726539,0.709442756
,,,,,,
2,ASL_64_16_nano.pt,640,0.55,exp74,0.797872482,0.747073164
,,,,,,
1,ASL_128_16_nano.pt,640,0.55,exp75,0.920781392,0.885420819
,,,,,,
2,ASL_128_16_nano.pt,640,0.55,exp76,0.931768427,0.898067623
,,,,,,
1,ASL_160_16_nano.pt,640,0.55,exp77,0.965902029,0.947835738
,,,,,,
2,ASL_160_16_nano.pt,640,0.55,exp78,0.953377017,0.922234669
,,,,,,
1,ASL_320_16_nano.pt,640,0.55,exp79,0.953828943,0.92516114
,,,,,,
2,ASL_320_16_nano.pt,640,0.55,exp80,0.976027021,0.957436472
,,,,,,
1,ASL_64_16_nano.pt,64,0.6,exp81,0.937093962,0.900674111
,,,,,,
2,ASL_64_16_nano.pt,64,0.6,exp82,0.885394312,0.813827425
,,,,,,
1,ASL_128_16_nano.pt,64,0.6,exp83,0.946594318,0.909276385
,,,,,,
